Player Name,Team,Position,Games,G,A,Points,+/-,PIM,SOG,GWG,PPG,PPA,PPP,BS,Hits,SHG,SHA
Gerald Mayhew,MIN,C,13,2,0,2,4,2,16,0,0,0,0,6,11,0,0
Daniel Sprong,WSH,RW,8,1,1,2,-2,0,17,0,1,0,1,3,4,0,0
Brandon Pirri,CHI,C,16,0,2,2,-4,8,24,0,0,0,0,5,16,0,0
Joel Hanley,DAL,D,8,0,2,2,0,6,4,0,0,0,0,8,3,0,0
Michael McLeod,NJD,C,12,0,2,2,4,4,11,0,0,0,0,6,19,0,0
Matthew Peca,OTT,C,14,0,2,2,-4,0,7,0,0,0,0,4,15,0,0
Tomas Jurco,VGK,RW,12,0,2,2,1,4,7,0,0,0,0,3,4,0,0
Connor Clifton,BOS,D,31,2,0,2,4,12,20,0,0,0,0,33,90,0,0
Jeremy Lauzon,BOS,D,19,1,1,2,5,29,20,0,0,0,0,23,32,0,0
Nico Sturm,MIN,C,6,0,2,2,2,0,2,0,0,0,0,5,6,0,0
Logan O'Connor,COL,RW,16,2,0,2,0,2,15,1,0,0,0,8,20,0,0
Nicholas Merkley,NJD,RW,4,1,1,2,0,2,8,0,0,0,0,2,9,0,0
Kyle Capobianco,ARI,D,9,1,0,1,-1,2,10,0,0,0,0,10,14,0,0
Jordan Gross,ARI,D,2,0,1,1,2,0,3,0,0,0,0,1,0,0,0
Gemel Smith,TBL,C,3,1,0,1,0,4,1,0,0,0,0,2,1,0,0
Kiefer Sherwood,COL,LW,10,0,1,1,-1,6,17,0,0,0,0,4,24,0,0
Lias Andersson,LAK,C,17,0,1,1,-8,4,13,0,0,0,0,8,20,0,0
Micheal Haley,OTT,LW,22,1,0,1,-7,50,9,0,0,0,0,6,36,0,0
Alexander Volkov,TBL,RW,9,0,1,1,-6,6,7,0,0,0,0,2,10,0,0
Miikka Salomaki,COL,RW,5,1,0,1,2,4,2,1,0,0,0,3,9,0,0
T.J. Tynan,COL,C,16,0,1,1,-1,2,7,0,0,0,0,3,7,0,0
Buddy Robinson,CGY,RW,5,1,0,1,0,7,6,0,0,0,0,5,14,0,0
Derek Forbort,WPG,D,20,0,1,1,-5,4,22,0,0,0,0,30,35,0,0
Daniel Carr,WSH,LW,11,1,0,1,-5,4,14,0,0,0,0,2,10,0,0
Jani Hakanpaa,ANA,D,5,1,0,1,1,2,4,0,0,0,0,7,15,0,0
Zach Whitecloud,VGK,D,16,0,1,1,3,4,9,0,0,0,0,16,10,0,0
Mathieu Olivier,NSH,RW,8,0,1,1,1,4,6,0,0,0,0,1,17,0,0
Anthony Angello,PIT,C,8,1,0,1,-1,4,5,0,0,0,0,5,13,0,0
Niko Mikkola,STL,D,5,0,1,1,3,0,10,0,0,0,0,3,5,0,0
Mikey Anderson,LAK,D,6,1,0,1,4,0,9,1,0,0,0,10,10,0,0
Eetu Luostarinen,FLA,C,8,0,1,1,-2,0,9,0,0,0,0,2,9,0,0
Jason Robertson,DAL,LW,3,0,1,1,0,0,4,0,0,1,1,0,1,0,0
Mason Marchment,FLA,LW,4,0,1,1,0,0,3,0,0,0,0,0,3,0,0
Joel Kiviranta,DAL,LW,11,1,0,1,-1,4,13,0,0,0,0,3,17,0,0
Mark Friedman,PHI,D,6,0,1,1,0,2,2,0,0,0,0,5,8,0,0
Lucas Carlsson,CHI,D,6,0,1,1,3,0,3,0,0,0,0,6,11,0,0
Luke Johnson,MIN,C,3,0,0,0,-3,0,1,0,0,0,0,0,6,0,0
Oliver Wahlstrom,NYI,RW,9,0,0,0,-2,4,9,0,0,0,0,4,10,0,0
Janne Kuokkanen,NJD,LW,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Keegan Kolesar,VGK,RW,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0
Michael Sgarbossa,WSH,C,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0
Josh Norris,OTT,C,3,0,0,0,2,0,9,0,0,0,0,2,3,0,0
Christian Wolanin,OTT,D,3,0,0,0,1,0,4,0,0,0,0,4,0,0,0
Jayson Megna,COL,C,8,0,0,0,-1,2,4,0,0,0,0,5,10,0,0
Alexandre Carrier,NSH,D,3,0,0,0,2,2,4,0,0,0,0,0,3,0,0
Kevin Connauton,FLA,D,4,0,0,0,-2,0,4,0,0,0,0,6,6,0,0
Brandon Hagel,CHI,LW,1,0,0,0,0,0,4,0,0,0,0,1,1,0,0
Nicolas Beaudin,CHI,D,1,0,0,0,1,0,2,0,0,0,0,2,2,0,0
Conor Timmins,COL,D,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0
Kale Clague,LAK,D,4,0,0,0,-3,2,2,0,0,0,0,4,1,0,0
Jaret Anderson-Dolan,LAK,C,4,0,0,0,-1,0,2,0,0,0,0,0,3,0,0
Tobias Bjornfot,LAK,D,3,0,0,0,-4,0,0,0,0,0,0,0,0,0,0
Nikolai Knyzhov,SJS,D,3,0,0,0,-1,2,0,0,0,0,0,4,4,0,0
Sheldon Dries,COL,C,5,0,0,0,-2,0,2,0,0,0,0,2,16,0,0
Tage Thompson,BUF,RW,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Steven Fogarty,BUF,C,7,0,0,0,-1,0,2,0,0,0,0,4,4,0,0
Brandon Davidson,BUF,D,12,0,0,0,-3,0,17,0,0,0,0,20,24,0,0
William Lagesson,EDM,D,8,0,0,0,-4,0,8,0,0,0,0,12,4,0,0
Justin Bailey,VAN,RW,2,0,0,0,0,0,1,0,0,0,0,0,4,0,0
