player_id,Player Name,Team,Position,Games,G,A,Points,+/-,PIM,SOG,GWG,PPG,PPA,PPP,BS,Hits,SHG,SHA
8476191,Kevan Miller,BOS,D,39,0,7,7,8,35,32,0,0,0,0,79,73,0,0
8477936,Michael Dal Colle,NYI,LW,28,3,4,7,3,2,34,2,0,0,0,8,10,0,0
8477989,Christian Dvorak,ARI,C,20,2,5,7,-2,2,25,1,1,0,1,7,16,0,0
8475287,Erik Haula,NSH,LW,15,2,5,7,1,10,26,0,0,1,1,6,11,0,0
8476439,Brett Ritchie,CGY,RW,53,4,2,6,-7,57,57,2,1,0,1,13,126,0,0
8474230,Micheal Haley,OTT,LW,43,2,4,6,-2,75,34,0,0,0,0,16,76,0,0
8480326,Sheldon Dries,COL,C,40,3,3,6,-7,26,44,0,0,0,0,20,66,1,0
8479336,Carl Grundstrom,LAK,RW,15,5,1,6,-4,6,26,1,0,1,1,3,38,0,0
8477520,Jean-Sebastien Dea,BUF,C,23,4,2,6,0,8,29,1,0,0,0,12,21,0,0
8477952,Robby Fabbri,DET,C,32,2,4,6,-4,6,43,1,0,0,0,8,30,0,0
8476924,Martin Frk,LAK,RW,30,1,5,6,-9,4,28,0,1,0,1,4,35,0,0
8478911,Matt Roy,LAK,D,25,2,4,6,-1,8,34,1,0,0,0,47,38,0,0
8475179,Dmitry Kulikov,NJD,D,57,0,6,6,4,47,40,0,0,0,0,71,88,0,0
8477996,Juho Lammikko,FLA,C,40,0,6,6,-7,6,39,0,0,0,0,21,45,0,1
8480072,Lias Andersson,LAK,C,42,2,4,6,-13,29,41,0,0,0,0,8,60,1,0
8474091,Brandon Sutter,VAN,C,26,4,2,6,-12,6,43,0,1,0,1,13,33,1,0
8478452,Caleb Jones,EDM,D,17,1,5,6,-9,6,21,0,0,1,1,18,20,0,0
